City_ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
493,gejiu,CN,86,1572505967,53,23.36,103.16,67.73,1.88
494,namibe,AO,78,1572505967,85,-15.19,12.15,72.9,9.6
495,bawku,GH,32,1572505967,78,11.06,-0.24,75.2,5.84
496,husum,DE,73,1572505967,100,54.49,9.05,35.6,2.24
497,mayumba,GA,100,1572505968,86,-3.44,10.65,78.31,10.09
498,mount isa,AU,0,1572505968,10,-20.73,139.49,95.0,8.05
499,rio grande,BR,100,1572505723,94,-32.03,-52.1,66.2,20.76
500,kill,IE,90,1572505968,93,53.25,-6.59,48.2,8.05
501,kimbe,PG,88,1572505968,85,-5.56,150.15,81.28,1.32
502,kangaatsiaq,GL,72,1572505968,73,68.31,-53.46,27.91,15.93
503,matay,EG,0,1572505969,72,28.42,30.79,67.35,13.91
504,bealanana,MG,38,1572505969,27,-14.54,48.75,79.36,9.86
505,alibag,IN,40,1572505969,49,18.64,72.88,93.0,8.05
506,pervomayskoye,RU,100,1572505969,72,57.07,86.23,30.61,4.16
507,kahului,US,40,1572505836,78,20.89,-156.47,78.8,4.7
508,nchelenge,ZM,1,1572505969,70,-9.35,28.74,77.5,1.23
509,mingaora,PK,8,1572505907,38,34.78,72.36,64.49,5.68
510,muros,ES,75,1572505970,100,42.77,-9.06,66.0,5.82
511,rantepao,ID,84,1572505970,84,-2.97,119.9,77.58,2.35
512,vestmannaeyjar,IS,75,1572505970,93,63.44,-20.27,42.8,8.05
513,tanda,IN,0,1572505970,23,31.67,75.63,86.83,2.21
514,victoria point,AU,40,1572505970,60,-27.58,153.3,75.99,13.87
515,antsohihy,MG,7,1572505970,38,-14.88,47.99,88.86,10.45
516,vernon,CA,20,1572505928,85,50.27,-119.27,28.0,3.27
517,biloela,AU,37,1572505971,38,-24.4,150.51,80.33,14.94
518,road town,VG,40,1572505971,74,18.42,-64.62,80.6,10.29
519,nhulunbuy,AU,40,1572505971,58,-12.18,136.78,87.8,12.75
520,payo,ID,16,1572505971,40,-3.75,103.64,87.62,3.27
521,coahuayana,MX,100,1572505971,91,18.62,-100.35,72.16,1.86
522,pokaran,IN,0,1572505971,35,26.93,71.92,89.62,5.19
523,dakar,SN,0,1572505971,36,14.69,-17.45,80.6,6.93
524,arkhara,RU,100,1572505971,97,49.42,130.09,37.2,14.58
525,carlsbad,CZ,75,1572505972,100,50.23,12.87,30.99,5.82
526,ibia,NG,100,1572505972,93,5.18,6.32,75.27,2.75
527,quixeramobim,BR,45,1572505738,93,-5.2,-39.3,68.11,4.0
528,keti bandar,PK,18,1572505972,50,24.14,67.45,89.47,1.19
529,bajos de haina,DO,20,1572505972,94,18.41,-70.03,75.0,4.7
530,haimen,CN,0,1572505972,44,31.87,121.18,79.0,4.5
531,yulara,AU,0,1572505973,4,-25.24,130.99,102.2,11.41
532,sambalpur,IN,72,1572505973,62,21.47,83.98,84.2,5.19
533,poya,NC,36,1572505973,75,-21.35,165.16,71.29,24.61
534,sirjan,IR,0,1572505973,23,29.44,55.67,71.02,13.53
535,banfora,BF,35,1572505973,83,10.64,-4.75,72.36,3.09
536,ushtobe,KZ,83,1572505973,26,45.25,77.98,70.25,9.04
537,khani,GE,75,1572505973,100,41.96,42.96,57.2,4.7
538,te anau,NZ,100,1572505973,78,-45.41,167.72,44.51,9.69
539,zwedru,LR,46,1572505974,99,6.07,-8.13,70.25,0.69
540,wajir,KE,75,1572505974,78,1.75,40.07,80.6,4.7
541,aden,YE,31,1572505974,28,12.79,45.03,89.29,3.15
